disease,medication
Eating disorder,"Glatiramer Acetate, Ursodiol, Bupropion HCl, "
Transient ischemic attack,"Albuterol Sulfate, Arformoterol Tartrate, Teriparatide, Epoetin Alfa, Octreotide Acetate,mi-Spheres, "
Pyelonephritis,"Abiraterone Acetate, Alteplase, Paclitaxel Protein-Bound, Dimethyl Fumarate, Sitagliptin Phosphate, Thyrotropin Alfa, "
Rotator cuff injury,"Treprostinil Sodium, Pemetrexed Disodium, Emtricitabine Tenofovir, "
Chronic pain disorder,"Ipilimumab, Teriparatide, "
Problem during pregnancy,"Treprostinil Sodium, Cyanocobalamin (Vitamin B-12), Tiotropium Bromide, Alteplase, Gemcitabine HCl, Econazole Nitrate, "
Liver cancer,"Esomeprazole Magnesium, Octreotide Acetate,mi-Spheres, Trastuzumab, "
Atelectasis,"Cetuximab, Fulvestrant, Lenalidomide, Corticotropin, "
Injury to the hand,"Raltegravir Potassium, Cetuximab, Pneumococcal 13-Valent Vaccine, "
Choledocholithiasis,"Certolizumab Pegol, Everolimus, Cyanocobalamin (Vitamin B-12), Paliperidone Palmitate, Esomeprazole Magnesium, Bendamustine HCl, "
Injury to the hip,"Cetuximab, Ursodiol, Fluticasone Salmeterol, Hydroxychloroquine Sulfate, Darunavir Ethanolate, Epoetin alfa, "
Cirrhosis,"Digoxin, Darunavir Ethanolate, Immun Glob G (IGG) Gly Iga 50+, Econazole Nitrate, "
Thoracic aortic aneurysm,"Azacitidine, Clobetasol Propionate, "
Subdural hemorrhage,"Abiraterone Acetate, Clomipramine HCL, "
Congenital rubella,"Cetuximab, Bortezomib, Darbepoetin Alfa In Polysorbat, Arformoterol Tartrate, Paclitaxel Protein-Bound, "
Diabetic retinopathy,"Sitagliptin Phosphate, Bevacizumab, Paliperidone Palmitate, Rivaroxaban, "
Fibromyalgia,"Sipuleucel-T Lactated Ringers, Enzalutamide, "
Ischemia of the bowel,"Abiraterone Acetate, Gemcitabine HCl, Aflibercept, Ledipasvir Sofosbuvir, "
Fetal alcohol syndrome,"Glatiramer Acetate, Ledipasvir Sofosbuvir, Thyrotropin Alfa, Immun Glob G(IGG) Pro Iga 0-50, Memantine HCl, "
Peritonitis,"Immun Glob G(IGG) Pro Iga 0-50, Methylprednisolone Acetate (40 mg), Omalizumab, Bevacizumab, Abatacept Abatacept Maltose, "
Injury to the abdomen,"Enalapril Maleate, Duloxetine HCl, Tiotropium Bromide, Gemcitabine HCl, Raltegravir Potassium, Immun Glob G(IGG) Malt Iga 50+, "
Acute pancreatitis,"Aripiprazole, Abiraterone Acetate, Enalapril Maleate, "
Thrombophlebitis,"Octreotide Acetate,mi-Spheres, Methylprednisolone Acetate (80 mg), Immun Glob G(IGG) Pro Iga 0-50, Ibrutinib, "
Asthma,"Ursodiol, Aflibercept, Omalizumab, Rituximab, Cyanocobalamin (Vitamin B-12), "
Foreign body in the vagina,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Daptomycin, Dimethyl Fumarate, Arformoterol Tartrate, Diclofenac Sodium, Paliperidone Palmitate, "
Restless leg syndrome,"Emtricitabine Tenofovir, Erlotinib HCl, Methylprednisolone Acetate (80 mg), Doxazosin Mesylate, Raltegravir Potassium, Pegfilgrastim, "
Emphysema,"Aripiprazole, Digoxin, Natalizumab, "
Cysticercosis,"Adalimumab, Corticotropin, Ledipasvir Sofosbuvir, Pregabalin, Doxazosin Mesylate, Arformoterol Tartrate, "
Induced abortion,"Cyclophosphamide, Immun Glob G(IGG) Malt Iga 50+, Simeprevir Sodium, Clobetasol Propionate, "
Teething syndrome,"Bosentan, Immun Glob G (IGG) Gly Iga 50+, Bexarotene, Immun Glob G(IGG) Pro Iga 0-50, Simeprevir Sodium, "
Infectious gastroenteritis,"Daptomycin, Bexarotene, "
Acute sinusitis,"Alteplase, Tiotropium Bromide, Clomipramine HCL, "
Von Hippel-Lindau disease,"Darunavir Ethanolate, Tiotropium Bromide, Clomipramine HCL, Etanercept, "
Substance-related mental disorder,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Raltegravir Potassium, Azacitidine, Aflibercept, Darbepoetin Alfa In Polysorbat, Corticotropin, "
Postpartum depression,"Bosentan, Sitagliptin Phosphate, Ambrisentan, Lenalidomide, "
Coronary atherosclerosis,"Rituximab, Ranibizumab, "
Spondylitis,"Metformin HCl, Cyanocobalamin (Vitamin B-12), Bortezomib, Bupropion HCl, "
Pituitary adenoma,"Pneumococcal 13-Valent Vaccine, Azacitidine, Arformoterol Tartrate, Hydroxychloroquine Sulfate, Sitagliptin Phosphate, "
Uterine fibroids,"Abatacept Abatacept Maltose, Simeprevir Sodium, Teriparatide, Adalimumab, Bexarotene, "
Idiopathic nonmenstrual bleeding,"Doxazosin Mesylate, Epoetin alfa, Natalizumab, "
Chalazion,"Natalizumab, Econazole Nitrate, Glatiramer Acetate, Azacitidine, "
Ovarian torsion,"Octreotide Acetate,mi-Spheres, Ranibizumab, Albuterol Sulfate, "
Retinopathy due to high blood pressure,"Bevacizumab, Memantine HCl, Pregabalin, Arformoterol Tartrate, Simeprevir Sodium, "
Vaginal yeast infection,"Epoetin Alfa, Sipuleucel-T Lactated Ringers, Immun Glob G(IGG) Pro Iga 0-50, Methylprednisolone Acetate (80 mg), Insulin Glargine,Hum.Rec.Anlog, "
Mastoiditis,"Denosumab, Methylprednisolone Acetate (80 mg), Pneumococcal 13-Valent Vaccine, Methylprednisolone Acetate (40 mg), Teriparatide, "
Lung contusion,"Certolizumab Pegol, Aflibercept, Ipilimumab, "
Hypertrophic obstructive cardiomyopathy (HOCM),"Aminolevulinic Acid HCl, Propranolol HCl, Chlorpromazine HCl, Efavirenz Emtricitab Tenofovir, Daptomycin, Bupropion HCl, "
Ingrown toe nail,"Aflibercept, Cetuximab, Sipuleucel-T Lactated Ringers, Treprostinil Sodium, Carbamazepine, "
Pulmonary eosinophilia,"Duloxetine HCl, Methylprednisolone Acetate (80 mg), Natalizumab, Insulin Glargine,Hum.Rec.Anlog, "
Open wound of the hip,"Denosumab, Ranibizumab, "
Corneal disorder,"Paliperidone Palmitate, Azacitidine, "
Foreign body in the gastrointestinal tract,"Sipuleucel-T Lactated Ringers, Epoetin Alfa, Methylprednisolone Acetate (80 mg), Corticotropin, Emtricitabine Tenofovir, Azacitidine, "
Endophthalmitis,"Glucagon,human Recombinant, Bortezomib, Captopril, "
Intestinal malabsorption,"Immun Glob G(IGG) Pro Iga 0-50, Teriparatide, Clobetasol Propionate, Epoetin Alfa, "
Lead poisoning,"Sitagliptin Phosphate, Sofosbuvir, Methylprednisolone Acetate (40 mg), Mitomycin, Chlorpromazine HCl, "
Viral warts,"Darunavir Ethanolate, Ipilimumab, "
Hyperhidrosis,"Thyrotropin Alfa, Raltegravir Potassium, "
Stroke,"Thyrotropin Alfa, Denosumab, Emtricitabine Tenofovir, "
Pilonidal cyst,"Omalizumab, Hydroxychloroquine Sulfate, "
Crushing injury,"Carfilzomib, Abiraterone Acetate, Chlorpromazine HCl, Esomeprazole Magnesium, "
Normal pressure hydrocephalus,"Metformin HCl, Simeprevir Sodium, Natalizumab, "
Alopecia,"Glucagon,human Recombinant, Ranibizumab, Cyanocobalamin (Vitamin B-12), "
Hashimoto thyroiditis,"Abiraterone Acetate, Bosentan, Enalapril Maleate, "
Flat feet,"Glucagon,human Recombinant, Mitomycin, "
Nonalcoholic liver disease (NASH),"Alteplase, Rosuvastatin Calcium, Albuterol Sulfate, Carbamazepine, Simeprevir Sodium, "
Hemarthrosis,"Bexarotene, Enzalutamide, Digoxin, Teriparatide, Rivaroxaban, "
Pelvic organ prolapse,"Efavirenz Emtricitab Tenofovir, Albuterol Sulfate, Erlotinib HCl, Hydroxychloroquine Sulfate, Octreotide Acetate, Sofosbuvir, "
Fracture of the arm,"Epoetin alfa, Raltegravir Potassium, Rosuvastatin Calcium, "
Coagulation (bleeding) disorder,"Sofosbuvir, Cyclophosphamide, Aflibercept, "
Intracranial hemorrhage,"Thyrotropin Alfa, Metformin HCl, Prednisolone Acetate, "
Hyperkalemia,"Esomeprazole Magnesium, Ledipasvir Sofosbuvir, Hydroxychloroquine Sulfate, "
Cornea infection,"Immun Glob G (IGG) Gly Iga 50+, Fluticasone Salmeterol, Gemcitabine HCl, Omalizumab, "
Abscess of the lung,"Cyclophosphamide, Ledipasvir Sofosbuvir, "
Dengue fever,"Cyclophosphamide, Sitagliptin Phosphate, Bosentan, Metformin HCl, Lenalidomide, Fluticasone Salmeterol, "
Chronic sinusitis,"Propranolol HCl, Daptomycin, Cetuximab, Alteplase, "
Cholesteatoma,"Trastuzumab, Mitomycin, Carbamazepine, Fluticasone Salmeterol, Propranolol HCl, "
Volvulus,"Formoterol Fumarate, Gemcitabine HCl, Pregabalin, "
Injury to the finger,"Prednisolone Acetate, Duloxetine HCl, Sirolimus, "
Poisoning due to analgesics,"Glatiramer Acetate, Treprostinil Sodium, "
Atrial fibrillation,"Methylprednisolone Acetate (80 mg), Divalproex Sodium, "
Pinworm infection,"Tiotropium Bromide, Daptomycin, "
Urethral valves,"Diclofenac Sodium, Hydroxychloroquine Sulfate, "
Open wound of the neck,"Natalizumab, Captopril, Cyanocobalamin (Vitamin B-12), "
Achalasia,"Aflibercept, Certolizumab Pegol, Sofosbuvir, "
Conductive hearing loss,"Abatacept Abatacept Maltose, Ledipasvir Sofosbuvir, Tiotropium Bromide, Esomeprazole Magnesium, "
Abdominal hernia,"Ledipasvir Sofosbuvir, Capecitabine, Glucagon,human Recombinant, Diclofenac Sodium, Fulvestrant, Certolizumab Pegol, "
Cerebral palsy,"Certolizumab Pegol, Erlotinib HCl, Doxazosin Mesylate, Bortezomib, Metformin HCl, "
Marijuana abuse,"Emtricitabine Tenofovir, Thyrotropin Alfa, Formoterol Fumarate, Alteplase, "
Cryptococcosis,"Diclofenac Sodium, Arformoterol Tartrate, Thyrotropin Alfa, Corticotropin, Ipilimumab, Insulin Glargine,Hum.Rec.Anlog, "
Obesity,"Fulvestrant, Etanercept, Azacitidine, "
Indigestion,"Bosentan, Propranolol HCl, "
Bursitis,"Glucagon,human Recombinant, Divalproex Sodium, "
Esophageal cancer,"Etanercept, Epoetin Alfa, Fulvestrant, Rosuvastatin Calcium, Denosumab, Bosentan, "
Pulmonary congestion,"Immun Glob G(IGG) Pro Iga 0-50, Bevacizumab, Prednisolone Acetate, "
Juvenile rheumatoid arthritis,"Abiraterone Acetate, Epoetin Alfa, Rituximab, Treprostinil Sodium, "
Actinic keratosis,"Teriparatide, Alteplase, Efavirenz Emtricitab Tenofovir, Trastuzumab, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, "
Acute otitis media,"Imatinib Mesylate, Captopril, Glucagon,human Recombinant, Sitagliptin Phosphate, "
Astigmatism,"Dimethyl Fumarate, Chlorpromazine HCl, Capecitabine, Darunavir Ethanolate, Econazole Nitrate, "
Tuberous sclerosis,"Raltegravir Potassium, Metformin HCl, Clomipramine HCL, "
Empyema,"Digoxin, Pemetrexed Disodium, Chlorpromazine HCl, Ibrutinib, Diclofenac Sodium, Hydroxychloroquine Sulfate, "
Presbyacusis,"Octreotide Acetate, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Everolimus, "
Neonatal jaundice,"Immun Glob G(IGG) Malt Iga 50+, Emtricitabine Tenofovir, Enalapril Maleate, Memantine HCl, "
Chronic obstructive pulmonary disease (COPD),"Divalproex Sodium, Abiraterone Acetate, Simeprevir Sodium, "
Dislocation of the elbow,"Ipilimumab, Azacitidine, Abatacept Abatacept Maltose, Pneumococcal 13-Valent Vaccine, Octreotide Acetate, "
Spondylosis,"Octreotide Acetate, Immun Glob G (IGG) Gly Iga 50+, Efavirenz Emtricitab Tenofovir, Abatacept Abatacept Maltose, Pegfilgrastim, Bendamustine HCl, "
Herpangina,"Tiotropium Bromide, Aripiprazole, "
Injury to the shoulder,"Imatinib Mesylate, Rituximab, Immun Glob G(IGG) Malt Iga 50+, "
Poisoning due to antidepressants,"Natalizumab, Fulvestrant, Cyanocobalamin (Vitamin B-12), "
Infection of open wound,"Arformoterol Tartrate, Captopril, "
Deep vein thrombosis (DVT),"Doxazosin Mesylate, Bexarotene, Lenalidomide, Etanercept, Efavirenz Emtricitab Tenofovir, "
Protein deficiency,"Darbepoetin Alfa In Polysorbat, Azacitidine, Metformin HCl, Pneumococcal 13-Valent Vaccine, Cetuximab, "
Myoclonus,"Aflibercept, Paliperidone Palmitate, Ibrutinib, Ursodiol, "
Bone spur of the calcaneous,"Cyclophosphamide, Omalizumab, Econazole Nitrate, "
Von Willebrand disease,"Sitagliptin Phosphate, Methylprednisolone Acetate (40 mg), "
Open wound of the back,"Enzalutamide, Dimethyl Fumarate, Fulvestrant, Pemetrexed Disodium, "
Heart block,"Bortezomib, Gemcitabine HCl, Chlorpromazine HCl, Daptomycin, Propranolol HCl, Rivaroxaban, "
Colonic polyp,"Enalapril Maleate, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Ledipasvir Sofosbuvir, "
Hypospadias,"Ursodiol, Cyanocobalamin (Vitamin B-12), Carbamazepine, "
Magnesium deficiency,"Bexarotene, Immun Glob G (IGG) Gly Iga 50+, Aflibercept, "
Female infertility of unknown cause,"Ursodiol, Infliximab, "
Pericarditis,"Metformin HCl, Alteplase, Epoetin alfa, Octreotide Acetate, "
Attention deficit hyperactivity disorder (ADHD),"Divalproex Sodium, Darunavir Ethanolate, Rosuvastatin Calcium, Sipuleucel-T Lactated Ringers, "
Neuromyelitis optica,"Glucagon,human Recombinant, Emtricitabine Tenofovir, Econazole Nitrate, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Paliperidone Palmitate, "
Pulmonic valve disease,"Pegfilgrastim, Ambrisentan, Enzalutamide, "
Tietze syndrome,"Hydroxychloroquine Sulfate, Glatiramer Acetate, Immun Glob G(IGG) Pro Iga 0-50, "
Cranial nerve palsy,"Rivaroxaban, Immun Glob G(IGG) Pro Iga 0-50, "
Injury to the arm,"Rivaroxaban, Pegfilgrastim, Bendamustine HCl, "
Conversion disorder,"Rosuvastatin Calcium, Bevacizumab, Hydroxychloroquine Sulfate, Chlorpromazine HCl, Ursodiol, "
Complex regional pain syndrome,"Natalizumab, Imatinib Mesylate, Daptomycin, Immun Glob G(IGG) Pro Iga 0-50, Abatacept Abatacept Maltose, "
Otosclerosis,"Rosuvastatin Calcium, Aripiprazole, Diclofenac Sodium, Abatacept Abatacept Maltose, Tiotropium Bromide, "
Injury to the trunk,"Erlotinib HCl, Aminolevulinic Acid HCl, Omalizumab, Digoxin, Methylprednisolone Acetate (80 mg), Epoetin alfa, "
Primary insomnia,"Rosuvastatin Calcium, Albuterol Sulfate, "
Lice,"Diclofenac Sodium, Simeprevir Sodium, "
Vitamin B12 deficiency,"Esomeprazole Magnesium, Pneumococcal 13-Valent Vaccine, Certolizumab Pegol, Carfilzomib, "
Diabetes,"Memantine HCl, Ipilimumab, "
Vulvodynia,"Cyanocobalamin (Vitamin B-12), Abiraterone Acetate, Simeprevir Sodium, Cetuximab, Trastuzumab, "
Endometriosis,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Pemetrexed Disodium, Ranibizumab, "
Vasculitis,"Captopril, Pregabalin, Infliximab, Mitomycin, Pegfilgrastim, "
Concussion,"Digoxin, Pneumococcal 13-Valent Vaccine, Darbepoetin Alfa In Polysorbat, "
Oral leukoplakia,"Bexarotene, Ipilimumab, Epoetin Alfa, Pemetrexed Disodium, "
Chronic kidney disease,"Pemetrexed Disodium, Etanercept, Divalproex Sodium, Abatacept Abatacept Maltose, "
Bladder disorder,"Tiotropium Bromide, Rosuvastatin Calcium, "
Chorioretinitis,"Etanercept, Sirolimus, Infliximab, Memantine HCl, Abiraterone Acetate, "
Priapism,"Cyclophosphamide, Mitomycin, "
Myositis,"Econazole Nitrate, Glatiramer Acetate, Abiraterone Acetate, Immun Glob G(IGG) Pro Iga 0-50, Azacitidine, "
Mononucleosis,"Aripiprazole, Alteplase, Immun Glob G(IGG) Pro Iga 0-50, Sirolimus, "
Neuralgia,"Glucagon,human Recombinant, Pemetrexed Disodium, Aflibercept, Infliximab, Memantine HCl, "
Polycystic kidney disease,"Pregabalin, Diclofenac Sodium, Aflibercept, Metformin HCl, "
Bipolar disorder,"Everolimus, Cetuximab, Corticotropin, "
Amyloidosis,"Alteplase, Certolizumab Pegol, "
Chronic inflammatory demyelinating polyneuropathy (CIDP),"Carfilzomib, Pregabalin, Paliperidone Palmitate, Simeprevir Sodium, "
Gastroesophageal reflux disease (GERD),"Digoxin, Insulin Glargine,Hum.Rec.Anlog, Ibrutinib, Everolimus, Ipilimumab, "
Vitreous hemorrhage,"Bendamustine HCl, Insulin Glargine,Hum.Rec.Anlog, Trastuzumab, "
Poisoning due to antimicrobial drugs,"Glatiramer Acetate, Infliximab, Epoetin Alfa, "
Open wound of the mouth,"Bupropion HCl, Pegfilgrastim, "
Scleroderma,"Prednisolone Acetate, Captopril, "
Myasthenia gravis,"Diclofenac Sodium, Denosumab, Darbepoetin Alfa In Polysorbat, "
Idiopathic absence of menstruation,"Rosuvastatin Calcium, Daptomycin, "
Dislocation of the ankle,"Paliperidone Palmitate, Econazole Nitrate, Rosuvastatin Calcium, Cyanocobalamin (Vitamin B-12), Pemetrexed Disodium, Natalizumab, "
Carbon monoxide poisoning,"Adalimumab, Immun Glob G(IGG) Malt Iga 50+, Diclofenac Sodium, "
Panic attack,"Bortezomib, Pneumococcal 13-Valent Vaccine, Duloxetine HCl, Immun Glob G(IGG) Pro Iga 0-50, Sofosbuvir, "
Plantar fasciitis,"Everolimus, Arformoterol Tartrate, "
Hyperopia,"Abatacept Abatacept Maltose, Pneumococcal 13-Valent Vaccine, Bendamustine HCl, Abiraterone Acetate, "
Poisoning due to sedatives,"Trastuzumab, Insulin Glargine,Hum.Rec.Anlog, Ibrutinib, Bexarotene, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, "
Pemphigus,"Ranibizumab, Clomipramine HCL, Darunavir Ethanolate, Duloxetine HCl, "
Peyronie disease,"Pemetrexed Disodium, Natalizumab, Sipuleucel-T Lactated Ringers, Epoetin Alfa, Pneumococcal 13-Valent Vaccine, Rituximab, "
Hiatal hernia,"Rituximab, Denosumab, Sitagliptin Phosphate, Cyclophosphamide, Econazole Nitrate, "
Extrapyramidal effect of drugs,"Rivaroxaban, Paclitaxel Protein-Bound, Enzalutamide, Aripiprazole, Glucagon,human Recombinant, Dimethyl Fumarate, "
Meniere disease,"Immun Glob G(IGG) Pro Iga 0-50, Bosentan, Teriparatide, Aminolevulinic Acid HCl, Omalizumab, "
Anal fissure,"Adalimumab, Memantine HCl, Ambrisentan, Captopril, Raltegravir Potassium, "
Chronic otitis media,"Erlotinib HCl, Memantine HCl, Capecitabine, Abatacept Abatacept Maltose, Sofosbuvir, Clobetasol Propionate, "
Fracture of the finger,"Bortezomib, Adalimumab, Epoetin alfa, "
Hirschsprung disease,"Paclitaxel Protein-Bound, Memantine HCl, Duloxetine HCl, Everolimus, Sofosbuvir, Daptomycin, "
Polymyalgia rheumatica,"Sipuleucel-T Lactated Ringers, Everolimus, Ledipasvir Sofosbuvir, Esomeprazole Magnesium, "
Lymphedema,"Adalimumab, Imatinib Mesylate, Bevacizumab, "
Bladder cancer,"Sipuleucel-T Lactated Ringers, Ursodiol, Ledipasvir Sofosbuvir, "
Acute bronchospasm,"Etanercept, Azacitidine, Lenalidomide, Paclitaxel Protein-Bound, Aripiprazole, Propranolol HCl, "
Acute glaucoma,"Darbepoetin Alfa In Polysorbat, Sirolimus, Arformoterol Tartrate, Adalimumab, Efavirenz Emtricitab Tenofovir, "
Open wound of the chest,"Bexarotene, Emtricitabine Tenofovir, Paliperidone Palmitate, Sirolimus, Glucagon,human Recombinant, "
Dislocation of the patella,"Aminolevulinic Acid HCl, Carbamazepine, Digoxin, Denosumab, Efavirenz Emtricitab Tenofovir, Formoterol Fumarate, "
Sciatica,"Gemcitabine HCl, Hydroxychloroquine Sulfate, Paclitaxel Protein-Bound, Alteplase, Certolizumab Pegol, "
Hypercalcemia,"Fluticasone Salmeterol, Propranolol HCl, Sofosbuvir, Daptomycin, Everolimus, Paliperidone Palmitate, "
Stress incontinence,"Alteplase, Fulvestrant, Corticotropin, Bortezomib, "
Benign kidney cyst,"Mitomycin, Rituximab, Captopril, Epoetin alfa, Metformin HCl, "
Hydrocele of the testicle,"Rituximab, Ambrisentan, Immun Glob G(IGG) Pro Iga 0-50, Carbamazepine, Corticotropin, "
Degenerative disc disease,"Methylprednisolone Acetate (80 mg), Albuterol Sulfate, Darunavir Ethanolate, Mitomycin, Ipilimumab, Hydroxychloroquine Sulfate, "
Hirsutism,"Darbepoetin Alfa In Polysorbat, Methylprednisolone Acetate (80 mg), "
Dislocation of the foot,"Bosentan, Adalimumab, Daptomycin, Imatinib Mesylate, Everolimus, "
