Code,Disease,symptoms
27,Pyloric stenosis,[{symptoms:Vomiting}{symptoms:84}{symptoms:Sharp abdominal pain}{symptoms:35}{symptoms:Infant spitting up}{symptoms:35}{symptoms:Vomiting blood}{symptoms:35}{symptoms:Cough}{symptoms:35}{symptoms:Arm stiffness or tightness}{symptoms:21}{symptoms:Regurgitation}{symptoms:21}{symptoms:Burning abdominal pain}{symptoms:21}{symptoms:Restlessness}{symptoms:21}{symptoms:Pain during pregnancy}{symptoms:21}{symptoms:Symptoms of infants}{symptoms:21}{symptoms:Wheezing}{symptoms:21} Pyloric stenosis
28,Salivary gland disorder,[{symptoms:Sore throat}{symptoms:44}{symptoms:Peripheral edema}{symptoms:44}{symptoms:Neck mass}{symptoms:35}{symptoms:Ear pain}{symptoms:35}{symptoms:Swollen lymph nodes}{symptoms:35}{symptoms:Throat feels tight}{symptoms:30}{symptoms:Facial pain}{symptoms:30}{symptoms:Skin swelling}{symptoms:24}{symptoms:Jaw swelling}{symptoms:24}{symptoms:Cough}{symptoms:24}{symptoms:Mouth dryness}{symptoms:24}{symptoms:Neck swelling}{symptoms:24} Salivary gland disorder
29,Osteochondrosis,[{symptoms:Knee pain}{symptoms:84}{symptoms:Foot or toe pain}{symptoms:68}{symptoms:Bowlegged or knock-kneed}{symptoms:40}{symptoms:Ankle pain}{symptoms:35}{symptoms:Bones are painful}{symptoms:21}{symptoms:Knee weakness}{symptoms:21}{symptoms:Hand or finger pain}{symptoms:21}{symptoms:Elbow pain}{symptoms:12}{symptoms:Knee swelling}{symptoms:12}{symptoms:Skin moles}{symptoms:12}{symptoms:Knee lump or mass}{symptoms:12}{symptoms:Weight gain}{symptoms:12} Osteochondrosis
30,Injury to the knee,[{symptoms:Knee pain}{symptoms:94}{symptoms:Knee swelling}{symptoms:30}{symptoms:Leg pain}{symptoms:30}{symptoms:Problems with movement}{symptoms:19}{symptoms:Knee stiffness or tightness}{symptoms:11}{symptoms:Leg swelling}{symptoms:11}{symptoms:Knee weakness}{symptoms:11}{symptoms:Foot or toe swelling}{symptoms:6}{symptoms:Heartburn}{symptoms:6}{symptoms:Smoking problems}{symptoms:6} Injury to the knee
31,Metabolic disorder,[{symptoms:Weight gain}{symptoms:18}{symptoms:Jaundice}{symptoms:4}{symptoms:Mouth dryness}{symptoms:4}{symptoms:Muscle pain}{symptoms:4}{symptoms:Smoking problems}{symptoms:3}{symptoms:Infant feeding problem}{symptoms:1}{symptoms:Recent weight loss}{symptoms:1}{symptoms:Problems with shape or size of breast}{symptoms:1}{symptoms:Arm stiffness or tightness}{symptoms:1}{symptoms:Underweight}{symptoms:1}{symptoms:Difficulty eating}{symptoms:1}{symptoms:Scanty menstrual flow}{symptoms:1} Metabolic disorder
32,Vaginitis,[{symptoms:Vaginal discharge}{symptoms:78}{symptoms:Vaginal itching}{symptoms:59}{symptoms:Sharp abdominal pain}{symptoms:49}{symptoms:Painful urination}{symptoms:40}{symptoms:Vaginal pain}{symptoms:29}{symptoms:Lower abdominal pain}{symptoms:26}{symptoms:Pelvic pain}{symptoms:23}{symptoms:Vaginal redness}{symptoms:19}{symptoms:Suprapubic pain}{symptoms:16}{symptoms:Pain during pregnancy}{symptoms:12}{symptoms:Vulvar irritation}{symptoms:10}{symptoms:Pain during intercourse}{symptoms:10} Vaginitis
33,Sick sinus syndrome,[{symptoms:Dizziness}{symptoms:37}{symptoms:Sharp chest pain}{symptoms:35}{symptoms:Shortness of breath}{symptoms:35}{symptoms:Palpitations}{symptoms:33}{symptoms:Fainting}{symptoms:26}{symptoms:Weakness}{symptoms:23}{symptoms:Irregular heartbeat}{symptoms:12}{symptoms:Decreased heart rate}{symptoms:8}{symptoms:Increased heart rate}{symptoms:4}{symptoms:Bleeding or discharge from nipple}{symptoms:4} Sick sinus syndrome
34,Tinnitus of unknown cause,[{symptoms:Ringing in ear}{symptoms:91}{symptoms:Diminished hearing}{symptoms:69}{symptoms:Dizziness}{symptoms:60}{symptoms:Ear pain}{symptoms:41}{symptoms:Headache}{symptoms:37}{symptoms:Plugged feeling in ear}{symptoms:34}{symptoms:Itchy ear(s)}{symptoms:9}{symptoms:Frontal headache}{symptoms:9}{symptoms:Symptoms of eye}{symptoms:6}{symptoms:Hoarse voice}{symptoms:6}{symptoms:Fluid in ear}{symptoms:6}{symptoms:Neck stiffness or tightness}{symptoms:6} Tinnitus of unknown cause
35,Glaucoma,[{symptoms:Diminished vision}{symptoms:46}{symptoms:Pain in eye}{symptoms:32}{symptoms:Symptoms of eye}{symptoms:26}{symptoms:Spots or clouds in vision}{symptoms:19}{symptoms:Eye redness}{symptoms:16}{symptoms:Lacrimation}{symptoms:13}{symptoms:Itchiness of eye}{symptoms:8}{symptoms:Blindness}{symptoms:8}{symptoms:Eye burns or stings}{symptoms:5}{symptoms:Foreign body sensation in eye}{symptoms:5}{symptoms:Itchy eyelid}{symptoms:1}{symptoms:Feeling cold}{symptoms:1} Glaucoma
36,Eating disorder,[{symptoms:Depression}{symptoms:63}{symptoms:Anxiety and nervousness}{symptoms:51}{symptoms:Depressive or psychotic symptoms}{symptoms:43}{symptoms:Decreased appetite}{symptoms:41}{symptoms:Abusing alcohol}{symptoms:24}{symptoms:Excessive appetite}{symptoms:24}{symptoms:Difficulty eating}{symptoms:20}{symptoms:Weight gain}{symptoms:17}{symptoms:Excessive anger}{symptoms:13}{symptoms:Insomnia}{symptoms:13}{symptoms:Vomiting blood}{symptoms:9}{symptoms:Acne or pimples}{symptoms:9} Eating disorder
37,Transient ischemic attack,[{symptoms:Loss of sensation}{symptoms:62}{symptoms:Dizziness}{symptoms:53}{symptoms:Headache}{symptoms:51}{symptoms:Weakness}{symptoms:46}{symptoms:Focal weakness}{symptoms:40}{symptoms:Slurring words}{symptoms:40}{symptoms:Difficulty speaking}{symptoms:33}{symptoms:Symptoms of the face}{symptoms:31}{symptoms:Depressive or psychotic symptoms}{symptoms:29}{symptoms:Diminished vision}{symptoms:29}{symptoms:Disturbance of memory}{symptoms:25}{symptoms:Paresthesia}{symptoms:24} Transient ischemic attack
38,Pyelonephritis,[{symptoms:Side pain}{symptoms:75}{symptoms:Fever}{symptoms:70}{symptoms:Sharp abdominal pain}{symptoms:70}{symptoms:Back pain}{symptoms:68}{symptoms:Vomiting}{symptoms:57}{symptoms:Nausea}{symptoms:56}{symptoms:Painful urination}{symptoms:52}{symptoms:Low back pain}{symptoms:40}{symptoms:Lower abdominal pain}{symptoms:32}{symptoms:Blood in urine}{symptoms:30}{symptoms:Suprapubic pain}{symptoms:29}{symptoms:Frequent urination}{symptoms:28} Pyelonephritis
39,Rotator cuff injury,[{symptoms:Shoulder pain}{symptoms:94}{symptoms:Arm pain}{symptoms:31}{symptoms:Shoulder stiffness or tightness}{symptoms:18}{symptoms:Shoulder weakness}{symptoms:9}{symptoms:Arm cramps or spasms}{symptoms:4}{symptoms:Arm stiffness or tightness}{symptoms:4}{symptoms:Neck stiffness or tightness}{symptoms:4}{symptoms:Hand or finger stiffness or tightness}{symptoms:2}{symptoms:Shoulder swelling}{symptoms:2}{symptoms:Tongue lesions}{symptoms:2}{symptoms:Leg cramps or spasms}{symptoms:2}{symptoms:Abnormal appearing tongue}{symptoms:2} Rotator cuff injury
40,Chronic pain disorder,[{symptoms:Back pain}{symptoms:76}{symptoms:Low back pain}{symptoms:63}{symptoms:Ache all over}{symptoms:48}{symptoms:Leg pain}{symptoms:41}{symptoms:Neck pain}{symptoms:41}{symptoms:Headache}{symptoms:37}{symptoms:Sharp abdominal pain}{symptoms:34}{symptoms:Shoulder pain}{symptoms:28}{symptoms:Knee pain}{symptoms:26}{symptoms:Hip pain}{symptoms:23}{symptoms:Pelvic pain}{symptoms:8}{symptoms:Lower body pain}{symptoms:8} Chronic pain disorder
41,Problem during pregnancy,[{symptoms:Sharp abdominal pain}{symptoms:76}{symptoms:Pain during pregnancy}{symptoms:75}{symptoms:Problems during pregnancy}{symptoms:49}{symptoms:Lower abdominal pain}{symptoms:39}{symptoms:Spotting or bleeding during pregnancy}{symptoms:36}{symptoms:Nausea}{symptoms:32}{symptoms:Headache}{symptoms:31}{symptoms:Back pain}{symptoms:30}{symptoms:Vomiting}{symptoms:28}{symptoms:Burning abdominal pain}{symptoms:27}{symptoms:Pelvic pain}{symptoms:27}{symptoms:Cramps and spasms}{symptoms:21} Problem during pregnancy
42,Liver cancer,[{symptoms:Sharp abdominal pain}{symptoms:33}{symptoms:Upper abdominal pain}{symptoms:31}{symptoms:Stomach bloating}{symptoms:13}{symptoms:Changes in stool appearance}{symptoms:9}{symptoms:Decreased appetite}{symptoms:9}{symptoms:Unusual color or odor to urine}{symptoms:5}{symptoms:Increased heart rate}{symptoms:5}{symptoms:Kidney mass}{symptoms:5}{symptoms:Swollen abdomen}{symptoms:5}{symptoms:Symptoms of prostate}{symptoms:5}{symptoms:Leg stiffness or tightness}{symptoms:5}{symptoms:Groin mass}{symptoms:5} Liver cancer
43,Atelectasis,[{symptoms:Cough}{symptoms:64}{symptoms:Shortness of breath}{symptoms:61}{symptoms:Sharp chest pain}{symptoms:53}{symptoms:Fever}{symptoms:42}{symptoms:Nasal congestion}{symptoms:42}{symptoms:Dizziness}{symptoms:42}{symptoms:Sore throat}{symptoms:35}{symptoms:Sharp abdominal pain}{symptoms:35}{symptoms:Difficulty breathing}{symptoms:26}{symptoms:Rib pain}{symptoms:26}{symptoms:Ache all over}{symptoms:26}{symptoms:Headache}{symptoms:26} Atelectasis
44,Injury to the hand,[{symptoms:Hand or finger pain}{symptoms:82}{symptoms:Hand or finger swelling}{symptoms:47}{symptoms:Wrist pain}{symptoms:34}{symptoms:Hand or finger stiffness or tightness}{symptoms:27}{symptoms:Joint pain}{symptoms:15}{symptoms:Skin growth}{symptoms:12}{symptoms:Muscle stiffness or tightness}{symptoms:4}{symptoms:Pallor}{symptoms:4}{symptoms:Focal weakness}{symptoms:4}{symptoms:Symptoms of the face}{symptoms:4}{symptoms:Wrist swelling}{symptoms:4}{symptoms:Hand or finger lump or mass}{symptoms:4} Injury to the hand
45,Choledocholithiasis,[{symptoms:Sharp abdominal pain}{symptoms:83}{symptoms:Upper abdominal pain}{symptoms:59}{symptoms:Vomiting}{symptoms:57}{symptoms:Nausea}{symptoms:52}{symptoms:Sharp chest pain}{symptoms:42}{symptoms:Back pain}{symptoms:29}{symptoms:Diarrhea}{symptoms:29}{symptoms:Jaundice}{symptoms:29}{symptoms:Side pain}{symptoms:23}{symptoms:Chills}{symptoms:17}{symptoms:Unusual color or odor to urine}{symptoms:9}{symptoms:Decreased appetite}{symptoms:9} Choledocholithiasis
46,Injury to the hip,[{symptoms:Hip pain}{symptoms:84}{symptoms:Leg pain}{symptoms:45}{symptoms:Neck pain}{symptoms:28}{symptoms:Groin pain}{symptoms:28}{symptoms:Lower body pain}{symptoms:17}{symptoms:Hand or finger swelling}{symptoms:17}{symptoms:Peripheral edema}{symptoms:17}{symptoms:Leg swelling}{symptoms:17}{symptoms:Problems with movement}{symptoms:17} Injury to the hip
47,Cirrhosis,[{symptoms:Sharp abdominal pain}{symptoms:39}{symptoms:Shortness of breath}{symptoms:30}{symptoms:Peripheral edema}{symptoms:24}{symptoms:Fatigue}{symptoms:20}{symptoms:Upper abdominal pain}{symptoms:20}{symptoms:Abdominal distention}{symptoms:16}{symptoms:Stomach bloating}{symptoms:10}{symptoms:Blood in stool}{symptoms:10}{symptoms:Regurgitation}{symptoms:8}{symptoms:Symptoms of the kidneys}{symptoms:5}{symptoms:Vomiting blood}{symptoms:5}{symptoms:Melena}{symptoms:5} Cirrhosis
48,Thoracic aortic aneurysm,[{symptoms:Sharp chest pain}{symptoms:68}{symptoms:Dizziness}{symptoms:42}{symptoms:Back pain}{symptoms:38}{symptoms:Shortness of breath}{symptoms:38}{symptoms:Sharp abdominal pain}{symptoms:29}{symptoms:Fatigue}{symptoms:23}{symptoms:Chest tightness}{symptoms:17}{symptoms:Unusual color or odor to urine}{symptoms:9}{symptoms:Flushing}{symptoms:9}{symptoms:Leg cramps or spasms}{symptoms:9}{symptoms:Coughing up sputum}{symptoms:9}{symptoms:Jaundice}{symptoms:9} Thoracic aortic aneurysm
49,Subdural hemorrhage,[{symptoms:Headache}{symptoms:67}{symptoms:Dizziness}{symptoms:36}{symptoms:Problems with movement}{symptoms:36}{symptoms:Depressive or psychotic symptoms}{symptoms:28}{symptoms:Seizures}{symptoms:24}{symptoms:Vomiting}{symptoms:24}{symptoms:Facial pain}{symptoms:14}{symptoms:Disturbance of memory}{symptoms:14}{symptoms:Irritable infant}{symptoms:7}{symptoms:Abnormal movement of eyelid}{symptoms:7}{symptoms:Hostile behavior}{symptoms:7}{symptoms:Delusions or hallucinations}{symptoms:7} Subdural hemorrhage
50,Congenital rubella,[{symptoms:Pain in eye}{symptoms:91}{symptoms:Shoulder cramps or spasms}{symptoms:91}{symptoms:Facial pain}{symptoms:91}{symptoms:Ankle pain}{symptoms:91}{symptoms:Wrist pain}{symptoms:91}{symptoms:Pain during pregnancy}{symptoms:91}{symptoms:Excessive anger}{symptoms:91}{symptoms:Joint stiffness or tightness}{symptoms:91}{symptoms:Pain or soreness of breast}{symptoms:91}{symptoms:Knee lump or mass}{symptoms:91}{symptoms:Fatigue}{symptoms:91}{symptoms:Excessive urination at night}{symptoms:91} Congenital rubella
51,Diabetic retinopathy,[{symptoms:Diminished vision}{symptoms:71}{symptoms:Spots or clouds in vision}{symptoms:33}{symptoms:Pain in eye}{symptoms:25}{symptoms:Lacrimation}{symptoms:22}{symptoms:Symptoms of eye}{symptoms:21}{symptoms:Eye redness}{symptoms:11}{symptoms:Foreign body sensation in eye}{symptoms:11}{symptoms:Itchiness of eye}{symptoms:8}{symptoms:Blindness}{symptoms:7}{symptoms:Bleeding from eye}{symptoms:7}{symptoms:Abnormal movement of eyelid}{symptoms:7}{symptoms:Double vision}{symptoms:4} Diabetic retinopathy
52,Fibromyalgia,[{symptoms:Back pain}{symptoms:59}{symptoms:Ache all over}{symptoms:54}{symptoms:Neck pain}{symptoms:53}{symptoms:Muscle pain}{symptoms:48}{symptoms:Leg pain}{symptoms:44}{symptoms:Headache}{symptoms:40}{symptoms:Shoulder pain}{symptoms:39}{symptoms:Low back pain}{symptoms:39}{symptoms:Sharp chest pain}{symptoms:34}{symptoms:Arm pain}{symptoms:26}{symptoms:Hip pain}{symptoms:21}{symptoms:Fatigue}{symptoms:21} Fibromyalgia
53,Ischemia of the bowel,[{symptoms:Sharp abdominal pain}{symptoms:84}{symptoms:Vomiting}{symptoms:62}{symptoms:Diarrhea}{symptoms:62}{symptoms:Nausea}{symptoms:49}{symptoms:Rectal bleeding}{symptoms:49}{symptoms:Blood in stool}{symptoms:43}{symptoms:Lower abdominal pain}{symptoms:43}{symptoms:Constipation}{symptoms:36}{symptoms:Melena}{symptoms:27}{symptoms:Burning abdominal pain}{symptoms:27}{symptoms:Chills}{symptoms:16}{symptoms:Retention of urine}{symptoms:16} Ischemia of the bowel
54,Fetal alcohol syndrome,[{symptoms:Excessive anger}{symptoms:58}{symptoms:Temper problems}{symptoms:58}{symptoms:Lack of growth}{symptoms:40}{symptoms:Eye redness}{symptoms:40}{symptoms:Depressive or psychotic symptoms}{symptoms:40}{symptoms:Hostile behavior}{symptoms:40}{symptoms:Smoking problems}{symptoms:40}{symptoms:Seizures}{symptoms:40}{symptoms:Coryza}{symptoms:40}{symptoms:Wrist weakness}{symptoms:3}{symptoms:Eye strain}{symptoms:3}{symptoms:Emotional symptoms}{symptoms:3} Fetal alcohol syndrome
55,Peritonitis,[{symptoms:Sharp abdominal pain}{symptoms:87}{symptoms:Nausea}{symptoms:56}{symptoms:Vomiting}{symptoms:48}{symptoms:Back pain}{symptoms:31}{symptoms:Fever}{symptoms:31}{symptoms:Shortness of breath}{symptoms:26}{symptoms:Lower abdominal pain}{symptoms:26}{symptoms:Upper abdominal pain}{symptoms:21}{symptoms:Side pain}{symptoms:21}{symptoms:Groin mass}{symptoms:15}{symptoms:Intermenstrual bleeding}{symptoms:8}{symptoms:Groin pain}{symptoms:8} Peritonitis
56,Injury to the abdomen,[{symptoms:Sharp abdominal pain}{symptoms:68}{symptoms:Sharp chest pain}{symptoms:59}{symptoms:Back pain}{symptoms:45}{symptoms:Burning abdominal pain}{symptoms:45}{symptoms:Upper abdominal pain}{symptoms:45}{symptoms:Lower abdominal pain}{symptoms:35}{symptoms:Leg pain}{symptoms:35}{symptoms:Neck pain}{symptoms:35}{symptoms:Pain during pregnancy}{symptoms:35}{symptoms:Side pain}{symptoms:35}{symptoms:Problems during pregnancy}{symptoms:21}{symptoms:Blood in urine}{symptoms:21} Injury to the abdomen
57,Acute pancreatitis,[{symptoms:Sharp abdominal pain}{symptoms:89}{symptoms:Vomiting}{symptoms:72}{symptoms:Nausea}{symptoms:65}{symptoms:Upper abdominal pain}{symptoms:49}{symptoms:Diarrhea}{symptoms:38}{symptoms:Sharp chest pain}{symptoms:37}{symptoms:Burning abdominal pain}{symptoms:30}{symptoms:Back pain}{symptoms:25}{symptoms:Side pain}{symptoms:19}{symptoms:Abusing alcohol}{symptoms:14}{symptoms:Lower body pain}{symptoms:11}{symptoms:Hemoptysis}{symptoms:6} Acute pancreatitis
58,Thrombophlebitis,[{symptoms:Leg pain}{symptoms:70}{symptoms:Leg swelling}{symptoms:40}{symptoms:Arm pain}{symptoms:31}{symptoms:Abnormal appearing skin}{symptoms:29}{symptoms:Arm swelling}{symptoms:29}{symptoms:Foot or toe pain}{symptoms:27}{symptoms:Ache all over}{symptoms:24}{symptoms:Lymphedema}{symptoms:22}{symptoms:Skin on leg or foot looks infected}{symptoms:14}{symptoms:Skin swelling}{symptoms:11}{symptoms:Leg cramps or spasms}{symptoms:11}{symptoms:Hand or finger swelling}{symptoms:11} Thrombophlebitis
59,Asthma,[{symptoms:Cough}{symptoms:74}{symptoms:Shortness of breath}{symptoms:61}{symptoms:Wheezing}{symptoms:55}{symptoms:Difficulty breathing}{symptoms:45}{symptoms:Nasal congestion}{symptoms:39}{symptoms:Fever}{symptoms:36}{symptoms:Sharp chest pain}{symptoms:25}{symptoms:Coryza}{symptoms:21}{symptoms:Chest tightness}{symptoms:14}{symptoms:Allergic reaction}{symptoms:11}{symptoms:Coughing up sputum}{symptoms:8}{symptoms:Congestion in chest}{symptoms:8} Asthma
60,Foreign body in the vagina,[{symptoms:Vaginal discharge}{symptoms:54}{symptoms:Pelvic pain}{symptoms:22}{symptoms:Painful urination}{symptoms:22}{symptoms:Lower abdominal pain}{symptoms:22}{symptoms:Skin lesion}{symptoms:22}{symptoms:Back weakness}{symptoms:1}{symptoms:Pus in sputum}{symptoms:1}{symptoms:Emotional symptoms}{symptoms:1}{symptoms:Muscle swelling}{symptoms:1}{symptoms:Pus in urine}{symptoms:1}{symptoms:Abnormal size or shape of ear}{symptoms:1}{symptoms:Low back weakness}{symptoms:1} Foreign body in the vagina
61,Restless leg syndrome,[{symptoms:Abnormal involuntary movements}{symptoms:77}{symptoms:Leg pain}{symptoms:49}{symptoms:Headache}{symptoms:39}{symptoms:Sleepiness}{symptoms:37}{symptoms:Apnea}{symptoms:33}{symptoms:Fatigue}{symptoms:32}{symptoms:Abnormal breathing sounds}{symptoms:32}{symptoms:Depression}{symptoms:29}{symptoms:Back pain}{symptoms:25}{symptoms:Difficulty breathing}{symptoms:25}{symptoms:Loss of sensation}{symptoms:25}{symptoms:Insomnia}{symptoms:25} Restless leg syndrome
62,Emphysema,[{symptoms:Sharp chest pain}{symptoms:89}{symptoms:Shortness of breath}{symptoms:69}{symptoms:Chest tightness}{symptoms:69}{symptoms:Cough}{symptoms:51}{symptoms:Nausea}{symptoms:51}{symptoms:Ache all over}{symptoms:51}{symptoms:Back pain}{symptoms:51}{symptoms:Cross-eyed}{symptoms:4}{symptoms:Itchy eyelid}{symptoms:4}{symptoms:Excessive growth}{symptoms:4}{symptoms:Emotional symptoms}{symptoms:4}{symptoms:Elbow cramps or spasms}{symptoms:4} Emphysema
63,Cysticercosis,[{symptoms:Seizures}{symptoms:90}{symptoms:Headache}{symptoms:87}{symptoms:Vomiting}{symptoms:43}{symptoms:Shortness of breath}{symptoms:43}{symptoms:Abnormal involuntary movements}{symptoms:43}{symptoms:Elbow cramps or spasms}{symptoms:3}{symptoms:Elbow weakness}{symptoms:3}{symptoms:Excessive growth}{symptoms:3}{symptoms:Underweight}{symptoms:3}{symptoms:Low back weakness}{symptoms:3}{symptoms:Wrist weakness}{symptoms:3}{symptoms:Feeling hot and cold}{symptoms:3} Cysticercosis
64,Induced abortion,[{symptoms:Spotting or bleeding during pregnancy}{symptoms:67}{symptoms:Sharp abdominal pain}{symptoms:59}{symptoms:Pain during pregnancy}{symptoms:54}{symptoms:Cramps and spasms}{symptoms:38}{symptoms:Lower abdominal pain}{symptoms:31}{symptoms:Pelvic pain}{symptoms:27}{symptoms:Problems during pregnancy}{symptoms:27}{symptoms:Intermenstrual bleeding}{symptoms:27}{symptoms:Vaginal discharge}{symptoms:13}{symptoms:Blood clots during menstrual periods}{symptoms:7}{symptoms:Groin pain}{symptoms:7}{symptoms:Absence of menstruation}{symptoms:7} Induced abortion
65,Teething syndrome,[{symptoms:Fever}{symptoms:82}{symptoms:Pulling at ears}{symptoms:65}{symptoms:Cough}{symptoms:65}{symptoms:Irritable infant}{symptoms:65}{symptoms:Nasal congestion}{symptoms:63}{symptoms:Diarrhea}{symptoms:46}{symptoms:Ear pain}{symptoms:40}{symptoms:Gum pain}{symptoms:40}{symptoms:Symptoms of infants}{symptoms:38}{symptoms:Temper problems}{symptoms:34}{symptoms:Redness in ear}{symptoms:27}{symptoms:Decreased appetite}{symptoms:23} Teething syndrome
66,Infectious gastroenteritis,[{symptoms:Vomiting}{symptoms:91}{symptoms:Diarrhea}{symptoms:89}{symptoms:Nausea}{symptoms:72}{symptoms:Sharp abdominal pain}{symptoms:68}{symptoms:Fever}{symptoms:62}{symptoms:Burning abdominal pain}{symptoms:38}{symptoms:Headache}{symptoms:24}{symptoms:Blood in stool}{symptoms:21}{symptoms:Decreased appetite}{symptoms:16}{symptoms:Chills}{symptoms:13}{symptoms:Fluid retention}{symptoms:12}{symptoms:Flu-like syndrome}{symptoms:11} Infectious gastroenteritis
